0,2292,5584,-9536,-102,-217,57
0,2208,5552,-9556,-111,-176,-47
0,2176,5604,-9584,-68,-253,56
0,2212,5620,-9640,-96,-225,217
0,2240,5564,-9480,-122,-187,273
0,2196,5548,-9576,-95,-166,154
0,2244,5540,-9428,-32,-145,78
0,2224,5620,-9592,-201,-120,238
0,2284,5628,-9516,-200,-171,220
0,2248,5620,-9628,-86,-120,146
0,2280,5600,-9604,29,-117,88
0,2196,5564,-9644,-248,-116,189
0,2276,5632,-9516,-241,-159,191
0,2316,5600,-9416,-62,-103,50
0,2276,5568,-9588,19,-149,52
0,2300,5644,-9608,-144,-220,100
0,2324,5620,-9432,-31,-284,143
0,2348,5676,-9508,-47,-209,120
0,2216,5640,-9520,-8,-170,45
0,2200,5584,-9364,42,-249,-25
0,2260,5584,-9324,28,-262,23
0,2288,5644,-9496,49,-342,153
0,2364,5612,-9520,133,-203,27
0,2184,5672,-9496,312,-243,-89
0,2212,5488,-9724,101,-258,33
0,2256,5600,-9588,-162,-251,82
0,2184,5600,-9448,-67,-241,10
0,2208,5624,-9564,92,-205,-85
0,2208,5580,-9396,-24,-234,-2
0,2184,5592,-9560,-143,-309,85
0,2176,5664,-9464,-30,-243,85
0,2288,5592,-9552,73,-162,108
0,2240,5660,-9628,-98,-141,52
0,2204,5572,-9556,0,-172,113
0,2224,5584,-9572,-104,-143,188
0,2212,5612,-9468,-133,-157,38
0,2304,5628,-9584,66,-245,-63
0,2180,5536,-9528,46,-205,-78
0,2232,5584,-9536,-124,-215,142
0,2108,5608,-9656,-139,-254,177
0,2244,5724,-9556,-55,-233,107
0,2188,5608,-9468,-36,-217,113
0,2320,5580,-9580,-108,-268,121
0,2164,5600,-9472,-174,-224,125
0,2212,5576,-9612,-108,-166,161
0,2088,5592,-9628,-100,-101,151
0,2220,5576,-9480,-116,-158,128
0,2244,5564,-9504,-180,-154,170
0,2256,5632,-9540,-225,-94,346
0,2192,5676,-9452,-50,-90,292
0,2264,5628,-9508,-21,-146,51
0,2260,5624,-9524,-105,-234,42
0,2252,5588,-9476,-142,-195,289
0,2280,5668,-9588,-327,-143,267
0,2304,5632,-9584,-63,-177,116
0,2232,5604,-9484,-12,-188,-43
0,2176,5664,-9508,-39,-205,50
0,2248,5636,-9472,26,-247,111
0,2344,5672,-9516,6,-228,40
0,2300,5704,-9560,106,-178,8
0,2232,5584,-9448,160,-186,-9
0,2296,5544,-9516,89,-266,30
0,2264,5584,-9456,-105,-286,124
0,2260,5636,-9580,0,-208,170
0,2204,5628,-9604,207,-209,7
0,2272,5520,-9596,69,-230,6
0,2216,5624,-9416,-121,-203,197
0,2192,5640,-9624,-216,-146,190
0,2168,5712,-9584,-260,-98,41
0,2220,5720,-9528,-517,-114,-37
0,2212,5716,-9528,-1598,69,-240
0,2152,5672,-9468,-950,127,-19
0,2204,5680,-9420,101,-33,392
0,2396,5816,-9540,1318,-335,-313
0,2292,6004,-9680,1218,-54,-1121
0,2760,6216,-9392,-588,52,-2219
0,2292,6508,-9348,301,-604,-3332
0,1876,6844,-9040,-4336,455,-2833
0,1784,6916,-9096,-13862,3205,-3459
0,1812,7112,-8392,-22143,6145,-3875
0,1700,7588,-7848,-32428,7858,-4276
0,1584,6928,-5452,-32768,7031,-4264
0,908,6856,-3712,-32644,4204,-4053
0,708,6636,-2372,-20487,1084,-3777
0,864,6448,-2000,-9758,-3260,-2709
0,1640,6680,140,-5366,-3977,-2091
0,1608,7324,1636,-6970,-2413,-318
0,1800,7052,1676,-6667,-687,-140
0,1424,6388,1600,-8431,-1262,388
0,1412,5576,780,-3644,-2561,-380
0,1236,6128,1148,403,-2701,922
0,1060,6440,1700,-3497,-893,1438
0,924,5604,2532,-4428,261,1189
0,1044,5056,2148,1700,-352,161
0,1360,5956,1952,3829,-1800,-652
0,1544,5940,1972,-3653,-1959,-1373
0,1360,5424,1776,370,-1876,-1118
0,1364,6044,1760,1041,-1515,-1129
0,1388,5892,1924,-883,-652,-1268
0,1712,5768,1480,1009,-940,-1229
0,1656,5860,1744,-485,-778,-931
0,1596,5788,1688,1560,-620,-238
0,1472,6264,1512,1850,-237,50
0,1400,6108,1592,481,171,9
0,1416,6120,1504,228,112,-106
0,1356,6116,1396,-454,-242,-225
0,1360,6088,1284,608,-712,-293
0,1392,6132,1364,-601,-690,-481
0,1436,6052,1560,538,-659,-410
0,1436,6136,1460,-329,-432,-364
0,1352,6012,1508,28,-242,-169
0,1404,6140,1416,353,-12,-78
0,1376,6060,1568,264,15,3
0,1256,6208,1368,1009,-81,61
0,1304,6292,1444,-150,-216,54
0,1336,6136,1432,54,-309,17
0,1296,6084,1408,-234,-312,63
0,1400,6160,1440,25,-191,-52
0,1240,6084,1476,241,-110,36
0,1264,6276,1384,731,-74,85
0,1380,6260,1280,135,-102,17
0,1348,6144,1256,24,-136,86
0,1316,6232,1184,7,-163,100
0,1344,6188,1304,146,-105,111
0,1268,6252,1296,30,-65,4
0,1300,6172,1248,289,-123,25
0,1280,6216,1244,220,-209,28
0,1328,6260,1332,64,-173,55
0,1300,6248,1320,83,-149,64
0,1248,6264,1340,145,-116,50
0,1320,6308,1352,181,-154,81
0,1416,6360,1296,34,-105,17
0,1240,6304,1216,49,-118,40
0,1324,6236,1244,31,-165,29
0,1316,6264,1260,-128,-175,31
0,1368,6352,1504,-78,-193,-6
0,1284,6188,1284,-44,-160,55
0,1244,6336,1240,-135,-151,87
0,1332,6268,1232,-65,-246,5
0,1392,6224,1204,-71,-241,96
0,1260,6196,1272,-194,-185,59
0,1316,6252,1320,-5,-139,103
0,1292,6328,1364,43,-90,92
0,1296,6276,1256,22,-199,129
0,1288,6308,1232,-69,-178,13
0,1364,6304,1432,-178,-214,-34
0,1348,6312,1416,-109,-252,43
0,1276,6148,1392,-115,-193,93
0,1232,6260,1412,0,-98,66
0,1300,6252,1364,-116,-131,-64
0,1332,6220,1292,-362,-279,-45
0,1360,6248,1352,105,-255,76
0,1232,6252,1364,82,2,98
0,1364,6200,1260,517,91,160
0,1212,6264,1268,405,118,6
0,1236,6352,1088,380,-104,-158
0,1340,6340,1208,263,-207,-103
0,1156,6200,1200,-44,-272,204
0,1172,6300,1112,-344,-267,205
0,1332,6336,1244,-143,-387,183
0,1312,6360,1384,-328,-438,101
